Symbole;Information;;;
ぱ;pa;;;
ぴ;pi;;;
ぷ;pu;;;
ぺ;pe;;;
ぽ;po;;;
ま;ma;;;
み;mi;;;
む;mu;;;
め;me;;;
も;mo;;;
や;ya;;;
ゆ;yu;;;
よ;yo;;;
ら;ra;;;
り;ri;;;
る;ru;;;
れ;re;;;
ろ;ro;;;
わ;wa;;;
を;o;;;
ん;n;;;
きゃ;kya;;;
きゅ;kyu;;;
きょ;kyo;;;
しゃ;sha;;;
しゅ;shu;;;
しょ;sho;;;
じゃ;ja;;;
じゅ;ju;;;
じょ;jo;;;
ちゃ;cha;;;
ちゅ;chu;;;
ちょ;cho;;;
にゃ;nya;;;
にゅ;nyu;;;
にょ;nyo;;;
びゃ;bya;;;
びゅ;byu;;;
びょ;byo;;;
ぴゃ;pya;;;
ぴゅ;pyu;;;
ぴょ;pyo;;;
にゃ;nya;;;
にゅ;nyu;;;
にょ;nyo;;;
みゃ;mya;;;
みゅ;myu;;;
みょ;myo;;;
りゃ;rya;;;
りゅ;ryu;;;
りょ;ryo;;;
;;;;
;;;;
